20
300 600
10 93 628
100 150 299
87 246 785
103 169 598
242 282 497
8 230 308
39 43 508
162 232 611
229 246 735
6 295 22
182 202 23
163 261 196
138 166 378
178 260 61
67 289 35
238 290 995
56 262 12
169 256 921
17 22 128
224 289 211
124 210 609
7 155 246
181 282 521
142 171 640
38 203 560
10 192 532
50 286 224
270 299 686
128 169 230
65 98 753
255 279 987
8 288 435
20 300 502
57 107 105
16 35 530
3 19 203
83 281 217
11 47 98
207 267 244
76 221 332
3 225 422
91 231 138
1 50 144
63 173 232
75 297 87
99 275 212
91 125 246
30 96 216
24 192 976
22 197 467
138 299 215
150 249 504
36 205 491
57 232 320
167 213 734
121 192 192
167 251 445
120 278 67
170 214 275
81 89 903
108 129 829
88 269 296
126 235 323
21 40 758
11 91 19
50 109 314
23 281 785
117 247 713
139 183 161
50 156 765
34 52 382
11 178 236
45 129 239
31 66 378
82 189 628
149 214 3
65 107 452
106 124 30
128 294 92
27 112 212
20 32 240
144 276 317
55 167 750
127 245 593
98 136 75
258 263 766
90 211 338
231 299 444
94 283 219
23 181 757
252 297 461
163 197 350
150 182 726
106 279 870
86 198 12
7 292 167
201 231 6
96 173 714
92 210 904
224 282 151
123 135 451
93 133 610
80 205 654
127 193 771
169 221 581
87 213 423
37 251 782
64 277 902
36 198 815
211 296 961
148 268 397
51 205 463
76 168 650
126 298 480
171 288 175
24 45 282
29 177 315
50 53 872
139 149 895
264 298 820
40 219 941
172 221 54
21 189 23
262 263 338
46 144 763
25 109 7
21 184 258
63 85 804
211 224 561
2 208 45
25 120 545
19 60 438
252 295 86
191 257 962
74 286 676
25 197 289
223 252 277
229 266 484
170 265 753
75 158 949
28 114 786
74 300 385
48 265 241
14 118 10
65 224 568
194 221 265
43 79 335
97 252 187
94 208 318
83 108 304
141 170 319
26 270 40
40 187 118
10 179 951
47 249 595
193 284 22
37 244 107
25 81 993
160 191 644
28 100 438
102 291 286
12 232 560
104 260 485
107 256 280
174 276 528
223 233 732
102 133 488
163 171 675
147 215 407
74 204 636
45 229 703
29 216 513
116 234 593
137 152 929
157 172 285
14 165 583
216 275 964
96 141 678
145 231 372
25 99 188
87 203 394
54 212 567
225 252 474
181 292 337
219 255 179
20 194 475
17 60 392
20 236 580
116 158 533
22 195 873
50 224 190
137 179 297
20 272 555
191 254 469
95 139 219
187 281 617
174 236 376
191 242 438
59 126 493
191 265 145
62 134 765
8 139 241
137 223 624
109 119 486
21 43 648
157 251 174
119 227 700
176 263 17
18 168 485
124 294 570
106 243 69
70 222 928
29 169 180
37 138 926
256 298 557
39 157 141
38 226 822
60 195 995
57 292 391
90 186 260
73 253 651
44 215 900
27 85 965
27 188 108
146 213 1000
179 269 449
180 241 616
32 138 80
87 144 33
3 109 324
113 123 961
270 285 11
131 297 754
127 249 415
49 174 640
67 236 743
51 177 286
183 185 481
139 199 13
142 196 746
121 152 113
189 268 983
53 126 785
120 263 201
17 191 501
75 285 859
96 171 838
69 229 991
37 203 580
71 192 287
213 300 963
73 131 149
235 293 437
88 200 854
204 276 678
31 294 152
19 37 193
68 284 548
86 232 997
91 244 28
195 228 446
110 146 809
196 205 32
37 48 619
68 265 756
121 203 816
20 127 252
170 263 893
143 144 912
206 240 291
75 101 224
9 208 618
251 272 839
52 171 140
49 224 973
10 119 154
60 192 128
23 156 361
20 270 738
42 45 127
23 298 299
54 235 106
39 285 924
154 210 929
38 214 833
5 49 642
37 260 395
61 131 634
69 281 743
43 48 280
31 133 484
99 121 31
72 192 515
197 276 590
47 91 164
175 205 764
166 272 500
88 91 966
50 190 688
48 85 33
188 291 786
211 253 894
119 128 258
296 300 41
74 163 742
182 245 116
86 121 405
66 201 834
98 282 191
41 187 976
135 201 482
144 243 235
63 211 73
125 139 463
77 115 212
176 229 626
34 158 607
8 295 357
115 272 234
53 213 612
89 150 540
164 254 104
18 172 247
108 260 220
39 74 656
142 227 752
158 241 491
97 220 504
23 265 322
35 288 233
130 281 56
72 125 813
21 182 142
36 241 757
9 294 53
136 281 18
16 216 277
8 218 484
7 147 943
164 294 779
57 78 812
137 235 557
130 154 747
229 240 890
204 293 383
75 213 232
57 123 716
232 235 426
164 296 259
197 266 133
243 246 244
28 239 263
219 294 379
28 240 280
126 176 389
175 253 587
4 44 677
38 258 826
58 201 74
24 166 886
200 225 262
220 236 984
44 50 936
66 166 619
117 265 616
148 242 210
49 110 233
84 202 400
75 240 247
2 202 57
27 229 751
185 227 596
23 272 362
64 185 478
144 241 783
265 268 897
37 295 889
174 203 315
127 230 242
250 269 233
15 29 664
17 162 205
95 223 969
112 239 144
77 83 927
110 227 712
86 221 644
39 60 876
49 52 709
21 23 494
34 116 264
35 286 306
133 148 282
225 268 254
60 105 92
217 271 825
41 190 447
179 228 890
16 111 335
56 122 461
206 280 121
21 190 573
48 256 240
65 200 868
245 287 458
131 294 960
87 247 654
4 300 260
178 238 248
76 191 141
125 293 114
91 263 248
190 232 50
35 189 79
172 215 490
32 158 715
21 144 814
185 277 588
47 159 517
205 242 576
40 216 594
40 163 276
150 265 69
217 293 639
25 100 447
186 214 557
230 236 773
71 135 817
85 149 354
34 191 809
108 270 725
116 136 941
119 200 539
54 126 47
28 38 772
213 234 90
19 139 607
170 275 425
133 154 707
44 108 680
61 75 878
1 131 253
185 278 377
14 293 471
178 204 809
12 150 148
44 69 822
160 199 806
28 236 620
66 293 737
82 169 221
66 210 928
154 291 241
11 71 793
211 284 989
50 198 920
56 238 390
186 257 508
44 87 464
1 222 745
286 297 911
2 240 698
70 97 659
174 284 422
42 298 938
93 188 978
51 228 782
74 117 322
32 196 786
5 189 821
17 267 669
148 273 898
61 195 27
102 106 878
156 294 891
52 97 932
87 270 57
64 159 96
9 254 615
71 143 678
188 236 137
57 111 122
87 258 127
129 250 485
14 114 867
1 231 946
180 261 951
146 235 4
214 232 245
154 265 947
26 298 80
117 150 575
55 170 612
243 260 680
91 154 749
30 280 158
193 219 634
20 53 264
59 145 987
7 16 265
91 114 317
189 203 568
150 178 449
52 67 888
214 221 718
118 226 234
24 82 558
112 154 48
6 69 323
60 68 57
46 87 216
206 216 494
48 56 466
13 84 816
148 149 149
181 215 219
52 56 990
7 154 871
274 296 415
34 127 366
63 90 711
86 226 57
178 232 546
196 214 937
58 286 915
113 260 276
105 230 78
187 270 654
251 275 980
183 261 86
120 203 973
30 161 706
18 115 113
204 257 340
84 188 708
205 220 972
48 164 904
35 45 829
273 278 592
185 223 806
63 202 998
112 132 525
16 247 421
162 207 984
221 250 303
52 123 371
135 144 895
107 165 417
110 223 598
164 187 710
217 292 86
47 83 278
262 268 479
242 285 449
254 284 42
41 175 182
10 22 748
63 91 307
238 259 311
18 205 928
75 104 453
89 231 808
56 192 332
142 277 162
153 192 647
41 191 531
146 299 42
200 223 261
194 204 321
43 187 369
3 74 728
91 211 70
127 158 969
21 95 145
70 120 610
84 168 561
53 196 397
45 293 458
67 226 849
12 237 975
127 287 275
209 232 394
78 280 726
107 160 65
111 117 39
99 164 679
153 204 1
195 255 373
95 280 29
188 252 830
269 285 424
77 206 927
157 289 621
16 182 106
136 251 239
73 111 974
17 225 900
24 136 767
38 43 568
289 294 640
300 600
48 163 85
90 239 286
154 236 308
116 176 977
87 174 781
110 265 234
59 97 382
148 295 807
103 299 698
130 138 455
183 270 157
236 245 396
129 281 852
153 173 762
3 274 257
107 249 19
34 125 437
99 267 978
199 290 945
84 277 930
26 163 265
32 292 362
113 187 831
237 254 981
95 276 160
204 231 450
21 289 444
88 189 915
29 140 381
154 229 842
186 195 673
48 285 128
184 224 868
23 61 726
161 276 820
125 179 892
17 184 335
121 230 541
232 237 256
178 272 164
10 174 719
28 38 289
44 284 291
107 215 127
128 161 858
172 242 950
94 218 269
143 151 472
79 221 478
218 260 273
10 197 851
83 87 688
122 221 355
58 253 330
51 85 512
161 198 30
232 251 358
175 245 396
104 217 277
106 298 355
228 247 463
10 252 632
254 278 269
29 48 867
103 192 130
137 269 516
25 43 57
210 226 982
209 212 48
8 51 733
148 222 35
37 261 641
106 278 637
181 285 410
64 218 329
128 188 339
103 163 434
144 220 436
161 296 789
1 36 76
63 280 778
48 108 265
135 226 38
125 248 161
121 219 483
35 68 891
102 250 640
12 199 711
49 279 35
19 39 121
219 295 520
70 194 299
55 98 21
120 201 315
127 255 756
32 43 380
37 145 296
104 131 518
40 153 569
133 182 943
260 265 82
66 133 366
191 289 37
161 203 636
35 98 711
121 293 670
78 137 112
164 184 185
79 169 923
119 149 482
97 135 234
51 202 733
132 235 391
46 189 774
83 231 783
115 272 855
170 262 687
63 215 936
238 269 31
259 279 370
166 199 325
28 73 233
150 153 258
13 236 391
26 227 920
148 171 560
226 272 904
33 293 428
114 172 5
203 254 988
154 215 89
21 192 190
134 244 390
26 127 63
133 266 305
103 249 476
109 173 312
134 181 457
195 271 778
14 252 159
174 251 910
24 268 900
145 208 244
204 290 551
127 161 213
8 157 714
34 234 789
1 128 229
208 289 406
228 257 850
111 269 896
214 224 945
57 79 952
61 67 565
74 157 143
201 277 602
163 166 682
67 253 525
220 294 265
94 247 53
63 102 858
77 206 273
196 275 308
28 187 188
69 250 608
120 231 497
11 297 26
107 278 170
49 292 889
99 229 822
78 190 14
117 262 143
9 37 865
87 162 14
198 234 513
36 162 589
251 258 446
41 167 711
66 114 37
85 257 128
25 87 239
201 284 302
136 198 931
28 285 308
78 195 298
74 254 327
209 233 596
179 275 110
248 253 707
25 290 781
134 205 689
107 268 705
90 128 137
47 132 754
25 150 241
19 298 152
120 135 974
71 74 81
10 95 153
123 252 348
176 292 281
142 229 768
201 300 342
42 257 929
192 217 487
35 171 852
225 230 656
240 267 656
100 252 256
40 195 954
79 211 431
19 294 871
146 276 617
276 285 844
82 86 886
128 253 30
282 283 800
119 299 233
98 245 685
56 262 59
25 243 644
165 276 434
61 181 155
97 129 965
40 78 702
57 259 431
58 259 560
15 164 487
160 236 483
130 214 592
4 178 254
235 297 252
12 55 667
86 292 993
220 242 394
113 272 216
188 259 209
121 247 458
121 288 663
224 260 904
24 63 646
39 91 306
111 227 100
94 106 495
158 223 587
69 96 45
272 292 489
38 219 317
37 72 94
52 121 321
46 128 62
219 243 968
42 91 281
274 286 581
85 144 275
78 293 33
76 228 434
140 154 128
7 62 164
35 283 638
49 198 64
147 245 390
2 67 981
144 281 281
29 135 226
9 270 350
133 148 640
129 136 176
82 241 997
1 14 270
85 277 215
116 159 147
103 133 105
54 273 524
224 272 829
121 183 828
231 236 236
76 108 129
97 119 756
93 131 225
27 49 799
148 233 725
175 206 773
158 298 713
147 265 247
235 272 523
67 238 350
265 297 677
1 149 958
33 229 871
44 74 957
27 45 99
79 218 257
39 272 432
21 166 502
18 277 676
108 184 694
131 236 740
26 276 105
64 158 420
216 217 230
203 259 738
125 288 644
132 185 226
80 104 116
162 191 815
134 163 375
180 279 476
39 120 916
24 161 683
156 245 299
111 165 483
149 283 308
145 177 215
61 235 455
25 103 294
151 272 879
78 134 313
88 202 6
51 97 770
246 266 362
33 173 947
114 258 416
26 66 615
169 279 274
151 180 431
28 111 19
151 189 859
19 156 873
182 191 845
74 99 550
197 216 269
16 123 765
8 55 847
19 21 106
134 286 314
27 113 920
108 203 567
7 17 229
240 259 218
105 135 665
18 296 538
106 294 775
23 96 618
113 278 23
18 214 702
101 254 389
270 288 864
172 182 972
71 161 321
194 211 395
121 189 501
72 116 201
101 255 389
111 211 387
101 292 636
96 238 118
58 151 487
80 284 611
75 199 746
134 278 973
101 125 561
124 201 840
269 288 614
15 82 785
23 38 569
84 114 7
7 81 365
207 215 153
69 97 785
41 143 142
247 262 886
180 228 488
98 281 602
220 276 528
147 287 241
63 188 542
59 232 315
57 193 331
42 113 14
13 152 21
111 281 506
116 256 29
34 39 116
112 159 7
39 218 433
240 264 616
150 235 458
222 252 830
101 138 265
36 260 879
209 228 16
56 212 330
29 198 343
28 31 307
247 257 883
43 232 255
135 203 544
82 212 409
86 189 720
75 85 439
150 219 646
167 295 642
112 138 113
91 288 483
75 241 554
66 93 643
64 202 87
30 245 454
131 235 775
22 101 248
61 125 154
79 147 410
43 250 645
232 263 885
162 287 891
60 208 580
99 289 939
80 157 717
88 260 871
196 240 201
5 288 959
197 276 207
38 108 169
117 185 400
198 270 636
21 260 631
288 299 673
79 204 604
27 269 171
46 275 884
31 147 105
187 194 63
177 188 716
98 167 630
99 164 3
121 200 520
122 167 987
23 243 419
7 73 756
197 236 546
48 179 191
41 240 979
55 264 408
194 237 65
31 185 878
236 281 168
69 293 653
211 268 98
137 195 56
260 287 368
190 220 495
150 205 858
31 266 409
239 264 14
48 218 222
247 275 975
93 165 605
103 204 998
30 111 79
149 264 152
163 173 507
15 102 262
89 300 870
214 229 797
107 132 152
112 296 82
198 268 550
93 279 570
29 257 413
66 250 146
206 291 54
18 59 8
91 110 12
57 237 430
84 171 300
105 176 703
56 100 626
83 139 609
97 152 461
8 26 42
163 281 155
11 114 535
47 231 317
171 219 282
154 260 829
27 136 693
62 146 60
227 248 718
74 261 516
9 144 495
146 216 569
167 292 708
187 300 480
90 287 467
133 144 649
6 261 563
15 262 950
50 83 323
49 225 210
7 282 666
43 91 45
26 123 70
77 298 93
69 209 432
4 277 511
146 257 542
27 274 334
285 297 256
186 225 741
10 146 49
51 175 725
19 251 585
73 250 717
28 124 333
110 155 916
5 52 302
131 201 415
22 145 290
140 245 588
82 251 864
39 52 915
154 211 534
172 268 45
151 204 166
129 131 662
198 244 131
20 57 950
41 267 322
37 262 605
64 236 110
252 268 592
137 215 4
15 114 232
11 14 411
57 225 123
243 260 158
54 77 732
154 198 149
61 209 124
68 147 548
120 271 103
47 131 329
174 226 61
4 264 989
178 274 813
70 99 470
169 213 77
27 183 506
102 198 992
33 242 722
18 264 790
42 121 235
63 141 863
107 279 613
199 202 220
43 222 966
76 215 971
163 258 47
93 216 900
99 156 29
150 290 238
143 238 225
54 67 74
4 69 334
21 70 37
37 100 671
10 171 611
151 271 304
46 148 430
91 124 1
74 76 988
72 237 614
96 147 721
163 171 692
104 111 647
74 145 95
68 182 230
76 121 393
27 224 802
189 236 539
64 111 941
56 252 187
192 277 49
160 222 920
39 227 311
34 291 215
53 218 777
190 273 138
25 282 426
13 168 665
164 266 647
74 137 165
121 223 478
100 208 9
73 274 473
1 298 254
50 231 390
32 260 833
112 177 619
300 600
20 187 642
159 179 819
209 236 718
93 121 92
224 260 749
25 280 861
90 207 299
12 268 499
57 130 921
244 262 597
121 293 784
76 239 427
113 235 992
22 33 72
181 258 911
55 188 211
87 241 725
34 123 269
19 285 46
104 178 207
72 179 894
77 197 385
164 263 485
68 101 491
41 188 327
105 154 112
80 111 652
4 92 226
101 292 102
275 298 254
224 251 923
81 247 825
25 160 774
25 276 264
15 211 277
141 275 443
159 282 234
261 262 682
84 254 827
157 237 856
11 152 336
89 207 430
16 45 351
111 143 64
18 44 632
171 269 365
205 248 657
22 96 10
188 215 944
175 244 757
80 277 635
146 244 535
101 215 229
30 124 884
125 154 387
193 299 171
72 210 663
85 252 553
54 124 533
125 297 737
61 192 176
75 289 282
123 290 293
213 264 72
77 105 313
69 265 424
219 254 382
109 206 273
237 240 832
120 261 259
160 272 803
48 271 398
79 247 546
113 201 756
200 287 513
107 210 183
27 177 220
237 291 539
252 264 664
93 144 670
162 284 924
167 176 441
69 216 970
157 206 545
4 286 341
167 181 675
132 218 473
23 148 992
118 299 384
59 156 145
108 129 921
100 281 351
292 298 120
99 221 884
22 40 101
82 188 552
163 271 549
122 160 22
214 272 949
103 287 242
105 258 655
117 135 623
127 158 709
17 233 41
96 263 420
39 48 748
5 180 926
167 199 601
50 277 375
101 261 33
243 289 503
118 295 404
31 84 116
115 207 840
78 120 912
111 278 430
103 137 655
18 35 726
71 180 651
189 290 185
137 220 856
29 47 246
45 71 311
82 91 198
34 230 412
91 246 935
75 232 893
152 247 492
