20
30 60
2 21 397
25 29 279
6 24 347
9 14 640
12 22 370
5 26 63
13 19 405
15 27 295
4 6 425
20 24 339
21 30 284
3 16 617
5 8 324
2 7 413
28 29 218
18 19 77
7 23 613
4 28 277
6 8 770
10 20 360
5 20 8
13 24 328
10 17 624
8 9 568
17 25 345
4 16 154
21 25 764
15 16 225
22 29 673
14 20 16
4 22 320
6 9 952
5 12 41
20 27 688
2 13 6
2 29 835
4 23 281
16 25 341
6 25 774
11 26 145
2 15 25
3 7 233
4 30 249
11 29 899
2 3 30
24 26 694
4 25 918
5 27 652
7 14 740
7 21 914
3 24 501
17 30 494
2 17 739
1 26 141
9 19 622
1 21 606
23 29 675
10 23 444
13 28 875
10 21 963
30 60
17 26 419
4 21 861
18 23 138
15 28 928
8 28 663
5 14 826
6 16 921
1 26 534
20 29 269
29 30 575
4 14 923
5 16 432
7 18 218
2 22 91
13 18 22
13 17 43
3 29 95
2 13 880
8 12 418
10 18 500
16 29 860
14 18 131
16 18 221
10 29 153
12 27 254
14 22 824
4 24 548
23 28 822
1 6 815
10 30 758
7 22 719
8 25 351
2 7 864
9 10 562
17 30 202
2 25 849
6 19 86
27 30 564
7 11 252
18 19 407
15 21 168
4 13 864
11 28 608
5 30 668
6 30 979
28 30 814
10 13 49
18 27 38
21 22 40
4 16 748
11 15 218
10 14 732
3 10 61
24 28 808
13 22 524
4 28 458
24 26 719
3 20 543
16 25 388
9 29 590
30 60
16 26 371
7 16 882
12 24 649
2 26 613
7 12 41
8 27 361
3 4 415
16 27 127
1 17 991
10 23 562
20 23 14
4 23 25
12 28 85
21 28 960
8 28 286
6 18 494
14 28 317
11 20 473
5 29 728
5 17 531
5 11 182
6 25 410
9 20 291
26 30 928
4 8 498
4 30 621
3 6 204
2 7 675
3 11 17
7 22 179
8 22 280
9 25 296
1 9 788
7 20 391
9 27 280
4 7 942
6 8 623
16 23 950
13 20 491
3 20 395
13 26 133
9 29 685
15 19 157
16 20 621
2 15 307
17 24 169
9 15 415
1 15 283
13 27 173
4 15 39
11 13 720
5 12 956
5 9 335
6 12 756
23 26 791
8 26 861
22 24 384
11 17 142
4 17 617
24 27 267
30 60
1 28 890
12 21 18
10 17 388
16 28 155
1 17 509
17 21 885
3 28 698
7 19 370
9 17 935
4 20 46
3 19 617
2 26 867
11 17 62
11 16 623
11 23 481
2 9 589
10 27 465
5 20 492
3 6 581
17 19 749
2 22 658
9 23 978
19 22 760
6 22 279
11 21 598
17 18 620
6 30 107
6 26 635
20 27 149
10 25 23
14 23 92
3 29 319
6 9 650
23 30 770
7 20 961
2 15 261
21 22 552
10 30 585
19 29 84
2 20 499
8 11 986
16 21 979
1 29 700
2 23 86
1 24 63
8 9 648
15 25 463
5 23 587
5 29 70
15 22 833
17 25 177
5 18 515
16 17 728
16 20 601
6 18 887
3 27 636
27 30 860
18 26 64
1 12 376
9 21 710
30 60
5 10 164
9 21 160
8 13 882
9 26 511
3 14 56
1 6 461
4 12 370
3 21 2
4 17 630
2 25 884
8 29 754
17 22 329
26 29 574
14 22 730
11 29 262
17 28 542
7 20 331
1 3 65
27 30 882
3 17 931
13 18 904
16 17 398
15 30 618
5 24 596
8 19 518
14 16 304
1 21 94
1 7 551
5 13 997
11 23 781
18 23 489
22 27 765
26 28 200
4 9 476
21 24 275
2 22 354
12 25 468
8 28 840
3 5 773
22 28 831
6 14 27
8 15 959
2 7 898
6 19 257
17 18 325
3 27 646
17 19 198
8 27 554
25 28 216
23 28 946
18 25 580
8 22 341
10 27 363
16 20 696
5 9 641
23 24 435
3 9 694
7 19 176
7 23 518
18 29 204
30 60
8 23 323
1 21 923
1 23 425
2 28 137
9 30 895
19 22 493
7 11 264
15 30 235
4 29 275
19 25 682
2 21 779
7 19 237
4 15 57
15 20 750
11 23 939
7 18 883
2 5 261
8 30 949
10 15 265
14 23 691
13 28 226
4 23 782
1 13 683
6 23 184
14 22 365
13 14 574
3 4 524
8 24 665
7 22 515
2 20 437
6 19 958
11 29 583
3 26 116
15 17 698
4 14 483
18 29 242
5 22 234
22 25 946
4 8 781
7 20 908
11 16 449
10 14 341
10 29 846
18 30 900
3 30 661
7 29 909
23 27 981
20 25 1000
13 17 670
9 25 838
2 6 314
10 27 209
14 25 96
8 22 772
1 8 35
15 27 150
6 21 939
18 20 275
4 5 230
6 14 751
30 60
23 28 620
15 20 219
19 22 575
12 21 783
7 15 774
11 27 320
1 21 721
16 30 206
1 29 314
14 20 380
21 29 275
15 27 546
3 7 517
1 14 747
10 27 152
11 13 983
7 26 640
3 12 15
12 20 255
7 28 358
7 27 754
6 24 730
8 14 491
20 26 596
4 24 728
2 15 955
6 8 291
21 25 321
7 20 760
16 21 660
14 25 962
19 20 419
8 16 202
3 28 333
1 28 264
6 20 92
7 21 972
1 12 722
2 13 970
16 19 124
8 12 202
2 4 16
12 23 794
8 24 52
16 18 168
11 29 911
