20
10 20
5 7 987
4 9 569
1 4 105
4 5 102
4 7 319
7 8 749
6 8 690
5 9 721
4 6 42
3 7 14
2 7 771
3 4 186
1 5 827
2 5 209
1 9 279
5 8 116
1 3 547
2 6 243
2 3 822
3 5 946
10 20
1 4 398
8 9 965
2 6 846
1 5 295
2 4 991
2 5 84
2 9 701
7 10 404
1 3 255
6 9 215
3 10 547
3 4 903
1 9 50
2 7 382
7 8 146
1 8 693
1 2 758
4 5 690
5 9 261
4 9 756
10 20
2 7 429
1 4 993
7 10 520
5 7 694
6 8 873
5 6 30
4 7 699
2 6 569
8 10 321
3 6 163
6 7 643
7 8 15
3 10 17
2 8 161
1 5 59
4 8 102
5 10 404
7 9 461
3 8 556
2 3 737
10 20
4 5 157
3 4 964
6 10 392
1 2 59
3 8 994
5 10 745
1 8 587
8 9 546
2 10 903
4 6 426
5 7 242
2 4 269
1 6 263
1 10 313
9 10 229
7 10 395
1 3 846
4 7 472
2 3 567
2 5 864
10 20
4 6 207
2 10 278
1 8 476
3 10 603
8 9 696
1 3 897
7 8 74
3 9 865
5 8 654
4 5 254
3 5 874
2 3 987
5 7 357
4 10 685
2 6 69
7 10 938
3 6 695
8 10 239
6 10 428
1 4 123
10 20
1 3 257
1 9 216
8 10 139
1 2 165
5 8 155
4 8 49
1 7 529
1 8 304
4 9 472
7 9 294
2 7 350
2 10 82
2 6 4
3 4 692
2 4 807
2 9 523
1 10 815
6 9 762
1 6 219
5 9 234
10 20
5 7 174
5 6 674
5 8 525
7 8 858
2 8 119
4 10 508
3 8 112
9 10 224
2 7 750
1 6 76
6 7 799
1 2 257
6 9 406
2 6 221
2 9 926
6 8 949
3 9 312
7 9 482
2 10 230
3 5 508
10 20
5 10 211
4 8 511
3 5 976
4 7 608
1 2 966
4 5 20
1 10 988
2 6 795
9 10 341
2 4 599
1 6 354
7 9 326
4 6 772
5 7 580
1 4 813
7 8 915
5 6 668
6 10 478
2 5 409
3 7 58
10 20
2 6 687
3 6 344
5 8 358
7 8 110
1 5 172
2 5 58
4 7 849
1 10 894
1 2 257
3 5 518
1 4 883
8 9 951
1 8 863
1 7 820
8 10 508
1 9 368
2 8 218
1 3 300
5 6 464
9 10 574
10 20
5 10 268
4 7 874
2 6 76
7 10 454
2 9 78
1 8 319
7 9 431
1 4 876
3 7 81
5 8 176
5 9 906
4 9 763
1 9 232
3 10 22
3 4 34
6 10 406
2 8 94
6 8 463
1 10 217
4 10 649
10 20
8 9 398
1 4 802
4 9 733
6 7 318
1 2 830
4 6 841
1 7 471
1 8 626
9 10 437
5 9 535
7 10 488
4 10 399
2 6 421
3 7 165
6 8 18
2 4 117
2 8 275
1 6 589
2 3 2
3 4 225
10 20
2 5 695
4 7 405
1 10 64
8 10 239
2 7 210
6 9 900
4 6 736
4 8 238
5 6 820
1 7 734
1 4 1000
8 9 572
3 6 509
1 8 309
3 10 886
7 10 85
3 7 519
3 8 788
6 7 800
4 9 799
10 20
5 7 83
2 9 628
5 6 581
3 10 72
8 9 577
4 8 383
4 7 615
2 8 933
8 10 744
1 9 133
1 10 588
9 10 75
5 9 990
4 9 24
1 4 111
2 3 215
3 7 732
3 9 173
3 4 561
5 8 789
10 20
8 10 962
1 10 532
4 5 739
2 10 60
2 5 985
3 10 870
2 4 570
3 9 262
7 9 388
8 9 625
6 9 846
7 10 397
1 6 814
4 10 118
7 8 331
4 7 574
6 8 752
5 10 856
3 5 708
6 7 159
10 20
6 8 114
4 8 574
3 6 432
2 5 329
1 4 994
4 5 536
1 8 794
1 2 432
1 10 515
3 8 281
5 8 936
7 10 62
1 7 499
8 10 213
6 10 427
1 5 518
4 7 78
6 7 950
2 3 13
7 8 998
10 20
3 10 520
5 6 149
4 5 466
4 7 331
1 5 163
8 10 68
2 10 48
3 4 407
1 9 468
7 8 196
6 8 643
6 9 211
7 9 83
4 10 750
1 6 969
2 9 782
1 3 831
3 5 949
2 3 638
7 10 306
10 20
3 7 329
1 10 785
6 8 545
4 7 938
7 8 348
7 9 202
5 10 572
2 9 882
3 6 213
1 8 837
5 6 391
9 10 366
1 3 793
2 7 6
4 10 621
6 10 963
5 8 874
2 8 735
1 5 347
4 9 533
10 20
3 7 372
1 8 554
4 6 922
4 9 502
3 9 908
8 9 619
3 8 34
4 10 168
1 6 837
5 6 780
2 8 374
5 8 990
4 5 866
3 5 70
4 8 96
1 3 372
6 7 85
3 4 64
5 9 616
9 10 843
10 20
8 10 957
2 9 454
4 5 828
2 3 849
6 9 318
3 10 560
3 6 27
2 4 227
7 10 413
5 9 113
6 8 302
8 9 284
1 9 903
3 5 106
4 7 959
3 8 411
7 8 443
7 9 941
2 5 951
2 10 152
10 20
5 8 222
7 10 356
2 3 350
7 9 214
4 10 802
2 7 303
1 8 109
3 9 967
4 8 641
4 9 141
2 4 131
2 10 296
6 9 215
1 2 554
1 5 775
9 10 857
8 10 965
3 10 136
3 7 486
1 7 911
