20
30 60
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
29 30 1000
3 21 676
5 17 408
8 27 805
6 27 606
18 27 703
7 20 145
2 22 234
20 26 231
21 23 263
1 7 31
7 9 383
13 28 573
22 25 766
4 12 579
10 28 964
6 23 188
2 26 113
2 24 485
7 29 475
9 21 44
15 22 590
4 22 709
14 16 814
8 18 236
4 18 405
10 14 485
6 18 802
3 10 743
1 22 732
25 28 400
11 18 672
30 60
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
29 30 1000
23 25 319
3 20 77
20 29 575
10 25 66
9 20 869
12 29 324
17 19 487
4 7 188
8 10 124
11 15 869
12 15 948
24 27 228
1 11 722
17 22 930
12 14 108
1 29 773
21 28 439
6 17 330
5 17 405
11 17 361
14 28 678
3 10 279
7 24 496
12 16 361
4 17 68
6 13 727
17 20 145
5 30 262
1 8 96
27 30 639
8 14 955
30 60
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
29 30 1000
3 26 390
4 14 842
1 4 524
4 19 726
4 9 742
5 17 272
3 10 447
11 21 979
20 29 272
7 19 370
18 23 901
5 11 954
5 12 283
7 15 64
3 13 680
1 19 846
6 30 195
3 6 271
6 15 474
5 14 160
9 21 26
9 25 829
6 26 38
15 23 341
3 27 891
12 27 876
8 18 526
6 10 229
4 15 187
1 27 98
11 16 922
30 60
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
29 30 1000
5 13 593
3 27 274
8 12 637
10 17 676
14 28 206
11 17 22
4 9 162
2 27 950
4 8 972
14 19 235
8 19 995
11 19 285
21 24 676
4 12 506
8 21 711
20 26 219
1 23 223
3 13 181
8 15 228
2 8 902
2 5 300
17 22 63
21 27 311
6 22 408
19 30 334
7 19 753
9 24 930
4 6 555
1 17 358
4 7 192
2 7 644
30 60
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
29 30 1000
2 17 507
9 13 607
11 24 743
5 9 7
7 25 320
26 28 561
6 21 587
17 25 763
12 27 90
21 30 339
2 19 95
22 29 245
1 8 595
5 7 837
8 29 918
7 16 269
2 27 402
11 14 777
18 25 262
10 24 49
8 18 981
19 27 897
11 20 757
1 26 243
3 14 983
5 11 794
3 12 274
10 22 560
7 30 540
24 28 33
12 21 357
30 60
