20
1000 5000
669 930 252
205 31 117
219 911 -390
770 372 93
975 287 -317
107 415 336
473 168 -13
538 456 244
657 268 181
998 941 17
573 44 268
884 303 -104
503 971 97
445 171 264
304 45 198
188 553 -23
702 792 189
66 306 387
798 119 -148
54 119 -92
922 342 198
703 208 261
705 394 -2
456 373 -271
837 343 -78
651 286 -15
935 604 460
400 650 343
630 598 -60
724 443 432
209 476 64
926 886 -124
308 902 130
301 246 68
824 753 171
69 536 189
158 61 98
199 636 101
709 762 -198
930 858 -181
977 690 538
389 224 106
956 16 26
71 59 170
653 58 39
463 784 -82
53 534 -7
889 424 417
852 715 80
648 641 163
608 113 252
404 351 96
8 135 201
412 385 -129
467 371 273
584 633 135
800 482 53
90 733 288
235 114 261
364 306 258
247 926 481
833 991 39
388 710 -428
617 271 25
761 771 -172
621 622 -21
646 752 109
377 659 57
659 68 -151
536 817 39
396 486 -81
525 471 351
206 628 -160
670 145 255
859 851 226
710 765 100
79 679 27
954 483 60
21 572 84
859 441 -57
630 652 1
589 479 -119
728 358 332
210 236 -110
114 872 -415
157 888 42
167 884 117
273 485 416
509 78 207
802 624 285
972 349 320
883 421 -84
353 930 -18
420 192 22
191 643 139
967 726 -246
471 108 -160
369 137 -126
847 414 -42
939 217 -342
512 209 -17
51 506 244
276 775 -8
112 842 -63
691 221 -176
687 142 263
653 426 -370
478 873 289
537 669 -196
312 528 -162
235 387 338
776 879 -37
240 80 429
707 919 -187
515 369 57
803 546 199
266 517 61
108 473 170
537 577 -1
599 750 -13
529 407 179
878 181 201
110 114 109
263 817 126
274 677 433
929 793 35
736 118 -104
181 625 -62
379 238 273
284 908 60
185 289 -239
78 446 238
955 657 146
99 506 432
495 626 -277
909 943 99
532 570 39
778 674 -2
519 847 66
467 755 11
879 824 -50
743 805 51
117 590 150
563 222 83
565 259 327
695 309 224
907 215 -137
51 580 111
126 466 -367
671 407 -252
397 358 123
486 87 100
752 970 340
403 263 32
38 740 -118
47 872 -231
485 899 -282
397 335 -114
218 557 7
463 156 61
209 548 32
75 460 56
680 732 -132
143 949 337
398 310 36
676 533 -328
306 251 -287
129 923 416
287 422 186
884 313 372
36 136 199
816 719 97
366 772 -99
547 356 -24
910 939 263
488 843 26
210 160 179
196 245 99
455 883 189
8 784 95
448 395 -214
490 455 -246
943 974 -167
491 156 -31
469 395 43
93 618 -98
983 663 -180
405 287 -14
550 912 -149
659 758 52
841 242 454
418 442 20
212 939 318
810 756 -104
959 708 52
506 628 -294
967 926 146
122 17 501
658 422 154
888 625 -344
726 198 219
457 471 -48
840 841 -234
418 296 -156
432 589 -39
854 129 -137
297 276 -318
755 641 522
266 156 117
232 404 237
464 417 -96
995 825 115
830 220 301
455 333 4
946 790 -113
928 154 175
733 821 -161
128 523 233
790 559 101
461 738 223
617 888 190
391 897 -10
384 106 -9
200 359 349
97 751 22
853 744 -61
450 683 312
50 693 -277
897 812 -238
26 456 334
377 511 -178
143 518 533
733 862 8
268 961 -65
784 876 202
996 980 274
923 167 -134
342 658 -282
228 710 -291
416 44 -73
171 922 64
13 580 127
908 885 151
555 74 225
532 529 -332
116 36 -299
172 754 194
914 268 97
91 757 151
912 396 185
598 737 90
852 885 216
338 503 -3
693 470 285
405 905 230
207 744 -295
707 842 -234
464 420 -306
966 687 -280
827 750 25
369 419 -79
391 798 -38
364 345 229
216 445 -343
90 184 -113
267 561 177
255 487 359
91 470 -18
890 565 -123
926 353 19
49 325 -45
19 857 -301
231 46 2
456 619 90
159 300 -12
305 144 237
172 126 399
844 937 280
183 86 39
989 271 -120
908 174 71
784 35 31
587 256 -80
558 220 488
574 361 -205
674 406 182
794 298 -51
401 648 339
56 99 -289
886 996 -15
190 756 -11
258 89 356
385 561 171
117 24 448
79 801 451
224 322 92
687 635 70
216 109 -322
18 542 -39
586 241 -60
801 45 13
378 554 59
486 180 113
576 524 511
410 94 -192
213 660 -93
