20
100 500
31 45 -134
27 31 213
26 77 -13
61 65 376
58 77 396
21 63 -55
60 76 255
79 38 210
40 64 -172
5 22 -34
61 68 -27
97 23 80
18 30 407
79 41 -213
80 32 50
42 29 480
11 73 -317
38 10 -235
33 47 35
4 67 246
22 93 213
11 39 -329
91 91 78
5 66 161
6 45 -68
15 42 -327
86 30 469
62 6 302
14 17 -15
2 39 105
63 80 249
16 76 347
73 73 97
76 46 0
73 98 160
59 75 95
85 1 -303
82 35 -30
69 68 -333
55 13 262
41 49 368
19 93 323
42 79 344
26 3 -373
72 29 426
86 83 455
44 25 271
28 60 -160
9 21 38
65 94 50
64 12 -69
75 45 104
16 66 409
69 72 -366
18 74 123
7 13 194
19 23 90
4 90 88
14 11 303
46 84 215
15 79 -57
39 82 63
79 78 -98
25 79 15
86 25 315
84 3 -283
98 62 -91
90 54 386
35 47 201
28 29 216
72 37 184
78 63 121
24 1 -295
75 64 -58
28 20 121
43 2 -305
31 33 -219
21 18 -121
4 6 389
55 26 378
12 15 369
29 10 -189
51 99 32
41 8 509
76 26 263
57 41 -106
79 24 177
1 2 154
24 95 178
97 56 -82
61 84 341
92 4 -230
32 4 -291
42 7 282
26 82 -335
97 15 225
54 41 -318
79 41 -166
5 34 -82
14 62 -57
59 78 104
46 96 46
72 36 312
79 38 284
70 76 42
25 68 -103
55 96 173
57 85 253
65 21 -60
24 48 -110
57 16 -213
96 95 270
12 72 33
91 77 389
97 83 350
2 70 204
80 95 133
69 17 -288
13 62 -248
40 93 148
33 28 204
71 80 231
31 21 -48
84 69 83
25 75 -35
84 98 -151
72 88 7
77 91 -248
74 37 -9
38 16 -423
46 18 -105
19 45 33
10 66 146
62 16 22
61 63 126
19 28 153
54 42 -367
5 44 -216
63 86 -154
90 43 389
88 86 42
70 43 180
98 57 82
83 7 -235
82 98 167
13 12 -249
52 9 -72
74 90 -28
57 55 -104
23 12 -149
97 74 41
60 70 285
67 30 208
57 83 294
92 12 -282
65 31 -3
61 8 324
78 83 381
68 37 134
57 85 214
61 9 239
63 6 130
89 10 -184
61 5 171
99 5 -89
90 57 195
84 100 27
45 90 -55
43 34 -292
44 93 365
100 36 32
59 32 427
48 67 65
29 97 -224
28 52 135
74 54 320
37 3 -38
61 79 201
38 13 -64
38 61 -288
54 14 -241
32 14 -188
73 23 107
92 97 -120
48 77 257
39 33 121
15 43 93
9 23 16
89 92 -3
67 86 -158
18 51 393
44 72 11
78 89 374
13 93 82
54 21 -71
85 58 -195
16 68 134
75 99 249
44 95 442
14 85 272
59 62 38
84 35 -331
93 72 -278
53 25 -73
98 29 251
11 16 -450
10 2 -86
16 15 487
57 85 210
19 26 353
100 83 187
4 38 456
36 1 -260
56 43 425
57 74 41
25 2 -73
81 9 44
18 46 205
86 15 389
19 80 252
100 67 -68
77 95 91
78 93 401
79 27 -9
51 77 64
25 9 88
8 88 -336
9 3 -154
26 81 -132
73 18 8
18 22 122
78 87 410
34 73 85
4 42 -33
72 43 381
86 22 191
38 39 -315
92 47 -135
76 53 126
7 20 230
2 18 4
1 99 417
30 63 -156
81 42 -213
15 3 -262
98 20 181
95 53 -5
6 92 39
19 6 248
80 97 -139
59 76 226
67 42 -216
92 24 103
38 55 -314
97 48 113
33 64 -36
3 41 16
97 60 -98
17 99 283
38 36 -82
60 32 445
95 59 -368
41 99 395
16 77 403
10 87 226
9 25 -10
39 85 327
27 57 -20
72 82 76
18 90 21
35 68 107
15 59 -287
64 96 201
9 9 75
100 96 -97
13 68 -198
82 1 -90
56 27 239
62 87 425
4 77 458
53 24 52
19 27 157
8 22 -173
57 94 220
22 96 96
20 77 134
3 14 243
95 5 -212
39 37 95
20 64 -191
7 6 136
4 22 247
16 96 316
14 52 246
25 9 49
80 43 90
48 40 190
37 52 289
52 49 43
81 41 -213
87 78 -332
15 54 104
82 3 11
57 37 -78
7 77 279
66 50 117
42 63 268
25 20 128
78 19 61
64 26 427
7 96 21
90 91 32
71 23 -24
71 68 -186
23 48 96
69 20 -40
49 38 159
39 93 292
7 81 72
8 63 -160
25 81 89
42 61 223
100 17 -124
72 48 178
39 50 441
86 23 184
19 52 224
7 25 114
33 28 166
55 21 213
53 9 -57
38 3 -397
72 90 85
77 89 61
53 98 -144
49 63 -113
20 80 37
41 35 33
76 4 -131
71 95 229
47 48 158
35 48 254
8 96 -220
45 35 -147
57 55 -128
42 31 499
77 8 98
31 19 -228
67 19 -48
69 11 43
85 100 45
37 83 336
7 66 234
20 12 -322
86 63 246
72 10 214
96 45 -30
63 43 250
86 45 264
25 50 268
68 31 420
43 38 103
7 87 250
16 37 183
70 86 -152
13 65 142
49 62 -284
2 39 92
38 96 -168
9 40 161
78 31 408
12 88 57
88 76 243
53 13 51
29 40 20
36 38 255
36 80 130
18 65 404
66 88 -324
75 63 128
41 18 78
84 11 153
46 52 196
18 71 271
92 58 -177
21 37 -82
30 93 -49
10 73 -16
4 38 479
89 76 -147
71 87 236
69 84 0
89 77 -3
26 36 -125
50 4 -390
81 23 21
99 83 88
2 32 399
78 74 130
29 30 39
24 55 -258
62 4 74
15 47 -193
93 56 -301
42 36 390
53 81 -86
81 55 -92
60 94 404
86 2 142
99 86 -289
10 93 192
69 44 -343
19 100 206
53 57 -136
89 7 -110
13 96 -91
11 54 10
25 52 165
68 51 410
48 96 20
11 4 -394
79 18 -169
9 94 168
16 10 270
60 38 466
94 30 126
70 100 164
67 55 -112
92 53 103
55 72 -28
39 39 55
29 92 -40
96 24 180
40 84 83
57 82 -82
72 62 54
68 64 139
8 36 -95
24 9 -102
65 12 -400
61 97 123
63 85 240
77 34 -232
29 31 37
44 8 485
4 38 499
10 80 211
49 90 -271
47 22 162
92 64 -195
32 25 -149
7 96 63
21 80 105
46 74 58
41 39 115
21 15 184
73 19 51
86 61 183
19 82 -37
97 20 272
64 7 210
51 76 -98
16 96 298
15 69 52
77 47 -237
3 76 286
94 86 -305
83 98 -165
64 27 223
59 47 127
47 35 -80
78 24 301
28 77 222
80 27 -62
7 33 -4
67 36 65
68 7 184
9 76 -14
26 79 -109
84 92 -14
25 71 19
47 94 332
70 82 -105
48 80 168
85 26 134
82 94 312
93 60 -372
9 29 201
56 18 123
83 93 39
13 31 142
22 3 -127
97 38 337
71 81 23
61 36 200
90 100 289
8 11 7
8 47 -314
56 11 466
40 13 69
100 500
14 25 145
87 40 433
73 80 -171
52 7 148
38 13 -43
66 83 151
8 7 33
24 73 -41
43 59 -295
57 23 165
82 33 -190
60 19 -45
76 93 -81
31 79 328
82 97 -341
59 31 150
27 25 -86
93 76 174
50 19 -314
51 76 -213
78 65 147
89 51 255
39 52 100
89 41 276
82 37 -301
13 50 16
100 14 4
68 73 129
17 48 -102
6 27 103
69 51 132
11 93 -80
92 59 -391
54 74 133
53 82 281
53 42 226
42 49 180
87 99 317
68 74 -17
62 100 326
92 74 -206
29 80 -91
18 32 106
100 13 167
57 97 -120
32 22 394
