20
30 200
18 6 106
7 15 -125
11 28 -19
26 2 227
16 20 33
24 19 -29
4 23 168
28 12 -379
10 7 -79
22 16 -265
3 13 167
3 20 -190
28 7 -175
29 28 186
16 10 451
24 26 -68
9 29 10
22 6 128
27 19 -175
23 6 71
7 12 -167
30 14 -97
20 14 225
3 13 139
1 30 294
27 5 -325
19 20 -145
22 23 -11
4 4 23
29 30 173
15 1 206
13 15 -316
22 13 68
26 26 35
4 13 166
19 11 270
14 22 85
15 18 330
8 2 44
19 19 3
20 13 347
16 29 293
30 9 -40
19 8 218
9 15 -215
14 1 -84
29 19 -79
22 24 -22
4 21 -154
18 17 -254
3 10 193
6 7 -139
29 10 153
16 14 295
9 15 -188
10 16 -362
2 6 3
25 22 -25
28 12 -423
13 26 -159
16 30 391
11 10 21
15 21 61
23 4 -61
16 10 437
13 10 70
12 19 280
5 10 408
27 16 -356
21 26 213
27 20 -330
13 20 -218
28 19 -164
11 5 -324
11 1 -209
23 15 -238
15 3 335
20 5 21
22 5 -203
14 23 108
3 6 137
23 5 -256
7 7 75
28 6 -35
29 26 -38
3 9 68
16 7 257
8 18 -64
20 12 6
1 15 -61
19 1 -37
27 21 -379
20 8 430
8 21 -240
25 18 11
22 24 56
10 24 -24
16 25 355
11 16 -335
16 8 379
5 19 172
15 4 229
17 22 355
26 11 348
16 24 367
9 9 82
23 29 -21
10 28 19
16 12 -27
15 24 309
6 13 -23
15 23 319
7 18 160
16 1 178
9 9 32
23 26 -110
25 2 71
14 18 131
12 8 428
2 23 5
12 13 417
2 19 -141
23 11 132
20 17 23
27 4 -211
1 30 301
29 7 -58
16 29 333
6 26 -116
14 18 103
3 9 99
30 27 82
23 18 56
23 3 -16
2 24 -68
28 17 -337
2 1 -197
23 27 148
8 19 -180
3 9 65
25 29 -40
4 13 181
7 10 226
25 4 -114
5 28 368
3 21 -152
11 16 -338
22 6 34
21 1 169
28 15 -322
4 7 67
16 18 343
6 5 -257
25 11 152
10 2 32
23 11 125
23 18 69
28 8 52
7 6 148
27 8 22
22 12 -346
16 7 283
18 28 196
25 8 101
25 26 -106
3 23 94
5 3 261
9 14 57
11 24 -95
16 13 340
2 17 -339
20 27 439
9 8 149
13 12 -328
17 10 483
23 9 9
12 4 323
29 27 246
3 14 32
26 3 95
1 9 166
13 16 -280
2 6 18
5 1 203
23 14 -63
4 29 132
22 6 34
9 29 77
13 11 136
2 22 -42
5 25 411
20 17 -34
29 24 46
23 3 -8
24 12 -296
2 6 56
19 12 -145
5 25 327
30 5 -326
21 28 446
30 200
12 22 133
13 15 -18
18 1 -217
11 2 32
17 17 75
29 17 209
21 29 -157
27 22 24
10 21 207
11 19 258
21 11 -263
14 9 43
25 11 -23
30 12 68
6 15 59
26 25 35
29 26 -12
3 6 93
22 11 -171
27 14 -256
15 22 125
15 13 184
18 8 8
30 30 96
22 22 44
4 17 193
30 27 167
18 21 171
24 13 41
12 2 -136
7 21 322
28 4 371
21 9 -268
16 19 498
29 13 175
3 12 151
27 15 -124
19 26 -70
8 29 38
14 23 -52
17 6 -43
9 11 79
7 25 118
8 22 210
18 16 -298
15 19 73
5 14 73
27 8 -106
26 1 -201
5 11 124
11 21 355
17 12 29
11 4 152
24 26 -116
26 29 80
19 26 -34
9 25 138
18 2 -46
23 19 410
25 26 76
26 10 7
4 5 -139
29 23 -123
15 11 -63
2 1 -118
20 30 27
16 20 429
14 7 4
26 21 290
8 18 89
4 23 -177
25 25 30
17 4 -58
12 10 -59
2 11 49
1 24 462
2 4 193
11 8 132
19 2 -107
17 21 64
13 18 -102
29 28 -184
21 16 -429
21 1 -387
7 7 26
29 29 59
15 15 72
9 15 172
30 2 -103
